day	num_rats	Status
2013-10-12	1	Assigned
2013-10-15	6	Pending
2013-10-18	16	Closed
2013-10-19	9	Closed
2013-10-18	4	Pending
2013-10-19	5	Pending
2013-10-20	15	Closed
2013-10-20	3	Pending
2013-10-21	24	Closed
2013-10-21	7	Pending
2013-10-22	37	Closed
2013-10-22	12	Pending
2013-10-23	35	Closed
2013-10-22	1	Assigned
2013-10-23	2	Pending
2013-10-24	19	Closed
2013-10-24	5	Pending
2013-10-25	17	Closed
2013-10-25	1	Pending
2013-10-31	20	Closed
2013-10-31	7	Pending
2013-11-01	20	Closed
2013-11-01	5	Pending
2013-11-02	12	Closed
2013-11-01	1	Assigned
2013-11-02	6	Pending
2013-11-03	12	Closed
2013-11-03	3	Pending
2013-10-25	2	Assigned
2013-10-26	15	Closed
2013-10-27	6	Closed
2013-10-26	4	Pending
2013-10-27	3	Pending
2013-10-28	27	Closed
2013-10-29	29	Closed
2013-10-28	9	Pending
2013-10-29	3	Pending
2013-10-30	19	Closed
2013-10-30	4	Pending
2013-10-31	1	Assigned
2013-11-06	22	Closed
2013-11-06	3	Assigned
2013-11-07	20	Closed
2013-11-07	4	Pending
2013-11-08	17	Closed
2013-11-08	4	Pending
2013-11-08	1	Assigned
2013-11-09	2	Pending
2013-11-09	3	Closed
2013-11-10	7	Closed
2013-11-10	1	Pending
2013-11-11	8	Pending
2013-11-11	7	Closed
2013-11-12	18	Closed
2013-11-11	2	Assigned
2013-11-12	4	Assigned
2013-11-12	4	Pending
2013-11-03	1	Assigned
2013-11-04	18	Closed
2013-11-05	18	Closed
2013-11-04	2	Pending
2013-11-04	1	Assigned
2013-11-05	5	Pending
2013-11-06	3	Pending
2013-11-15	4	Pending
2013-11-15	15	Closed
2013-11-15	7	Assigned
2013-11-16	5	Closed
2013-11-16	2	Pending
2013-11-17	9	Closed
2013-11-17	3	Pending
2013-11-17	4	Assigned
2013-11-18	7	Pending
2013-11-18	26	Closed
2013-11-18	6	Assigned
2013-11-19	14	Closed
2013-11-19	12	Pending
2013-11-19	1	Assigned
2013-11-20	19	Closed
2013-11-13	14	Closed
2013-11-13	7	Pending
2013-11-13	4	Assigned
2013-11-14	22	Closed
2013-11-14	2	Pending
2013-11-14	2	Assigned
2014-03-19	1	Assigned
2013-11-26	14	Closed
2013-11-27	6	Closed
